"RESP_NO","REGION","Q1","Q6A","Q6B","Q6C","Q6D","Q6E","Q29B","Q37H","Q38A","Q38B","Q38F","Q84A","Q94","Q100","vio_97_21","night_2020mean","year"
"MLI0032",509,55,1,0,0,0,1,1,3,1,1,3,501,3,1,41,46.9902593332753,2017
"MLI0033",509,32,0,0,0,0,2,5,3,1,1,1,501,8,2,41,46.9902593332753,2017
"MLI0034",509,19,0,0,0,4,3,1,3,2,2,2,513,5,2,41,46.9902593332753,2017
"MLI0035",509,18,0,0,0,0,1,1,3,3,3,0,501,0,2,41,46.9902593332753,2017
"MLI0036",509,54,0,0,0,4,0,1,1,0,2,2,509,8,1,41,46.9902593332753,2017
"MLI0037",509,41,0,1,0,0,2,5,0,2,3,3,516,8,1,41,46.9902593332753,2017
"MLI0038",509,23,0,0,0,3,4,1,3,2,2,2,501,7,1,41,46.9902593332753,2017
"MLI0039",509,50,0,0,0,0,0,1,0,1,2,2,515,5,1,41,46.9902593332753,2017
"MLI0040",509,49,0,2,0,0,2,5,3,1,3,3,501,3,2,41,46.9902593332753,2017
"MLI0041",509,78,3,3,3,0,4,4,3,1,1,1,501,0,2,41,46.9902593332753,2017
"MLI0042",509,18,0,0,1,0,2,2,3,2,2,3,516,4,1,41,46.9902593332753,2017
"MLI0043",509,18,0,0,0,0,3,4,1,0,1,1,501,5,2,41,46.9902593332753,2017
"MLI0044",509,45,1,0,2,1,2,1,2,3,3,3,517,0,1,41,46.9902593332753,2017
"MLI0045",509,60,0,0,0,0,2,2,3,9,1,2,513,2,2,41,46.9902593332753,2017
"MLI0046",509,19,0,0,0,0,1,1,3,1,1,1,513,4,1,41,46.9902593332753,2017
"MLI0047",509,30,0,0,2,1,4,1,0,2,3,3,515,3,1,41,46.9902593332753,2017
"MLI0048",509,26,0,2,0,2,3,1,3,3,3,3,513,1,1,41,46.9902593332753,2017
"MLI0049",509,50,0,0,2,0,0,1,3,1,1,1,517,8,1,41,46.9902593332753,2017
"MLI0050",509,18,0,0,0,0,2,1,3,1,1,1,509,2,2,41,46.9902593332753,2017
"MLI0051",509,25,0,2,0,0,0,1,3,2,1,1,516,4,1,41,46.9902593332753,2017
"MLI0052",509,29,0,0,0,2,4,1,1,2,1,2,501,5,1,41,46.9902593332753,2017
"MLI0053",509,29,0,0,0,0,2,2,3,1,1,1,501,6,2,41,46.9902593332753,2017
"MLI0054",509,37,0,0,0,1,2,1,3,1,1,2,503,3,2,41,46.9902593332753,2017
"MLI0055",509,30,0,0,0,0,2,2,3,2,1,3,501,8,2,41,46.9902593332753,2017
"MLI0056",509,19,0,0,0,1,2,1,1,2,2,2,516,7,2,41,46.9902593332753,2017
"MLI0057",509,45,0,0,0,0,3,8,9,2,2,2,513,0,2,41,46.9902593332753,2017
"MLI0058",509,21,0,0,0,0,0,5,3,2,1,1,501,2,2,41,46.9902593332753,2017
"MLI0059",509,25,2,4,3,2,2,1,1,3,3,2,517,4,2,41,46.9902593332753,2017
"MLI0060",509,38,0,1,0,0,3,1,0,2,2,3,513,8,1,41,46.9902593332753,2017
"MLI0061",509,21,0,0,0,1,2,5,1,2,1,1,516,1,2,41,46.9902593332753,2017
"MLI0062",509,40,1,2,0,2,3,1,1,2,2,3,501,1,1,41,46.9902593332753,2017
