"RESP_NO","REGION","Q1","Q6A","Q6B","Q6C","Q6D","Q6E","Q29B","Q37H","Q38A","Q38B","Q38F","Q84A","Q94","Q100","vio_97_21","night_2020mean","year"
"MLI0683",503,30,0,4,0,4,4,1,3,1,1,1,514,5,1,80,0.0571139595521401,2022
"MLI0684",503,69,2,0,1,0,2,4,3,1,1,2,514,1,1,80,0.0571139595521401,2022
"MLI0685",502,54,0,2,0,0,3,3,3,0,0,1,9990,0,2,77,0.238176564560548,2022
"MLI0686",503,42,0,0,0,0,0,4,3,1,1,1,510,8,1,80,0.0571139595521401,2022
"MLI0687",502,43,2,4,0,0,4,4,3,2,2,0,500,0,1,77,0.238176564560548,2022
"MLI0688",503,80,0,0,0,0,0,4,3,0,0,0,512,4,1,80,0.0571139595521401,2022
"MLI0689",503,68,4,0,2,0,4,4,3,0,0,1,512,2,2,80,0.0571139595521401,2022
"MLI0690",502,35,0,0,0,0,0,4,3,1,1,1,500,7,2,77,0.238176564560548,2022
"MLI0691",503,38,2,0,1,0,4,4,3,1,2,1,508,2,2,80,0.0571139595521401,2022
"MLI0692",503,22,0,0,0,0,1,3,3,1,1,2,500,2,2,80,0.0571139595521401,2022
"MLI0693",503,35,1,2,1,0,4,4,3,2,2,2,9995,0,2,80,0.0571139595521401,2022
"MLI0694",503,19,0,0,0,0,2,4,3,1,1,2,508,4,1,80,0.0571139595521401,2022
"MLI0695",503,19,0,0,0,0,3,4,3,1,1,2,515,3,1,80,0.0571139595521401,2022
"MLI0696",504,28,0,4,0,2,4,5,2,1,2,3,502,4,1,378,0.0836327634784406,2022
"MLI0697",504,40,2,3,3,3,3,4,3,1,1,1,502,2,1,378,0.0836327634784406,2022
"MLI0698",504,40,4,3,0,3,4,3,3,0,1,1,502,0,2,378,0.0836327634784406,2022
"MLI0699",503,40,3,0,3,1,4,4,3,1,1,2,514,0,2,80,0.0571139595521401,2022
"MLI0700",503,19,0,0,0,0,0,4,3,0,0,2,514,7,1,80,0.0571139595521401,2022
"MLI0701",503,67,0,0,0,2,2,4,3,1,1,2,514,4,1,80,0.0571139595521401,2022
"MLI0702",504,28,2,1,0,0,2,4,3,1,1,1,502,0,2,378,0.0836327634784406,2022
"MLI0703",501,33,3,4,0,0,2,4,3,2,2,1,516,6,2,51,0.0677829536032446,2022
"MLI0704",501,37,0,0,1,3,4,1,3,0,0,2,515,0,1,51,0.0677829536032446,2022
"MLI0705",501,42,0,0,3,0,4,4,3,1,1,0,508,0,1,51,0.0677829536032446,2022
"MLI0706",501,57,0,0,0,0,0,4,1,3,1,1,508,6,1,51,0.0677829536032446,2022
